"city","state","zip","lat","long","id_geolocation","population"
Loveland,CO,80537,40.3849,-105.0916,57,82751
Belle Glade,FL,33430,26.6843,-80.6724,58,21427
Littlerock,CA,93543,34.4891,-117.9708,59,13033
El Cajon,CA,92021,32.8178,-116.9223,60,165433
Leesville,LA,71446,31.1256,-93.1736,61,34664
Waynesville,MO,65583,37.7676,-92.2105,62,12307
Spanish Fort,AL,36527,30.6959,-87.8867,63,12109
Jamestown,NC,27282,35.999,-79.9293,64,15906
Winnemucca,NV,89445,40.9664,-117.7467,65,16150
Salem,WV,26426,39.2948,-80.5898,66,7003
Richmond,VA,23222,37.5748,-77.4267,67,536907
Milaca,MN,56353,45.7795,-93.6453,68,8996
Virginia Beach,VA,23455,36.8881,-76.1446,69,437994
Philadelphia,PA,19144,40.0338,-75.1731,70,1526206
Sandy,UT,84092,40.5834,-111.7467,71,105585
Bakersfield,CA,93307,35.3275,-118.9839,72,520197
Miamisburg,OH,45342,39.6321,-84.2675,73,36784
Guthrie Center,IA,50115,41.6837,-94.4864,74,2674
Olathe,KS,66062,38.8733,-94.7752,75,130216
Plano,TX,75024,33.0752,-96.7843,76,278067
Slidell,LA,70460,30.2916,-89.8129,77,84991
Troy,MI,48085,42.6006,-83.1198,78,80980
Longmont,CO,80503,40.1559,-105.1624,79,117461
Salem,KY,42078,37.2553,-88.2711,80,1852
Mesa,AZ,85209,33.3782,-111.6406,81,478404
Sturgis,MI,49091,41.8089,-85.4264,82,19872
Crete,NE,68333,40.6193,-96.9567,83,8327
Chino,CA,91710,34.0125,-117.6844,84,83727
Seffner,FL,33584,27.9922,-82.2863,85,25392
Agoura Hills,CA,91301,34.1227,-118.7573,86,25488
Concord,NC,28027,35.4141,-80.6162,87,104595
Phillips,WI,54555,45.6975,-90.4041,88,4872
Missouri City,TX,77489,29.5962,-95.5115,89,91828
Anaheim,CA,92802,33.8085,-117.9228,90,354475
Chicago,IL,60621,41.775,-87.6421,91,2680484
Chagrin Falls,OH,44022,41.4494,-81.4314,92,33867
Jackson,MS,39212,32.2435,-90.2612,93,233060
Ruidoso,NM,88345,33.3474,-105.651,94,8874
Springfield,OH,45504,39.9408,-83.8343,95,101826
Logan,OH,43138,39.5372,-82.4126,96,18437
Sparta,MO,65753,36.9775,-93.1065,97,5027
Minneapolis,MN,55446,45.04,-93.4865,98,1022298
Norridgewock,ME,4957,44.6899,-69.8306,99,4265
Walnut Creek,CA,94595,37.8753,-122.0703,100,82557
Littleton,CO,80127,39.592,-105.1328,101,320420
Santa Ana,CA,92705,33.754,-117.7919,102,348131
Elk Grove,CA,95624,38.4232,-121.3599,103,162646
Saint Paul,MN,55129,44.8985,-92.923,104,753116
Marstons Mills,MA,2648,41.6703,-70.4163,105,7301
Dry Ridge,KY,41035,38.7049,-84.6237,106,10785
Altavista,VA,24517,37.1222,-79.2911,107,5693
Hamilton,IL,62341,40.4392,-91.344,108,3610
Layton,UT,84040,41.0846,-111.9274,109,67651
Omaha,NE,68108,41.2382,-95.9336,110,518429
Ocklawaha,FL,32179,29.0643,-81.8857,111,8156
Stantonville,TN,38379,35.1809,-88.4364,112,1171
Grantsburg,IL,62943,37.3794,-88.7583,113,715
Brooklyn,NY,11201,40.694,-73.9903,114,2504700
Los Angeles,CA,90016,34.0298,-118.3528,115,2383912
Wyaconda,MO,63474,40.3721,-91.9071,116,479
Wellsville,KS,66092,38.7137,-95.0916,117,4084
Farmington,MN,55024,44.6628,-93.1539,118,32406
Jennings,LA,70546,30.2201,-92.6574,119,16425
Rio,WI,53960,43.4231,-89.2354,120,3268
Mount Holly,NJ,8060,40.0086,-74.7896,121,24713
Ewing,KY,41039,38.4157,-83.8733,122,2502
Wilmington,DE,19801,39.7378,-75.5497,123,215619
Lyons,GA,30436,32.1711,-82.3078,124,11961
Saint Petersburg,FL,33703,27.817,-82.6264,125,341043
Spokane,WA,99205,47.6964,-117.4399,126,342856
Cornersville,TN,37047,35.3409,-86.8286,127,2345
Saint Joseph,MO,64503,39.734,-94.8171,128,87116
Costa Mesa,CA,92627,33.6483,-117.9155,129,110851
Jackson,MI,49201,42.2545,-84.3875,130,104131
Barrington,IL,60010,42.1614,-88.1383,131,44095
Oswego,IL,60543,41.6849,-88.3453,132,36156
Fairfield,CT,6825,41.1928,-73.2402,133,55023
Springwater,NY,14560,42.6776,-77.5775,134,2164
Saltville,VA,24370,36.8927,-81.7402,135,6572
Converse,TX,78109,29.5173,-98.3217,136,34603
Columbus,OH,43235,40.1088,-82.9742,137,783285
Raleigh,NC,27614,35.9457,-78.6433,138,489514
Chicago,IL,60612,41.8805,-87.6873,139,2680484
Detroit,MI,48202,42.377,-83.0796,140,673342
Erin,NY,14838,42.1859,-76.6819,141,1956
Lake Zurich,IL,60047,42.2165,-88.0769,142,41669
Santa Rosa,CA,95404,38.4534,-122.6878,143,209844
Orange Park,FL,32003,30.1063,-81.716,144,98816
Buena Park,CA,90620,33.8439,-118.008,145,80266
Dallas,TX,75217,32.7244,-96.6755,146,1263321
Edinburg,TX,78541,26.4481,-98.2842,147,136507
Springfield,MA,1104,42.1288,-72.5778,148,144116
Louisville,KY,40215,38.1913,-85.7847,149,736284
Sacramento,CA,95829,38.4689,-121.344,150,757530
Nashville,TN,37215,36.0986,-86.8219,151,431336
Belvidere,NJ,7823,40.8308,-75.0503,152,7571
Cedar City,UT,84720,37.5886,-113.1682,153,40666
Cedar Falls,IA,50613,42.5241,-92.4497,154,42031
Flemingsburg,KY,41041,38.428,-83.708,155,7153
Modesto,CA,95354,37.6409,-120.9749,156,255354
Springfield,VA,22152,38.7757,-77.2337,157,104396
Lincoln,CA,95648,38.8942,-121.2908,158,47354
San Antonio,TX,78232,29.5863,-98.4769,159,1595797
Berrien Springs,MI,49103,41.948,-86.354,160,11950
New Orleans,LA,70122,30.0056,-90.0644,161,382333
North Augusta,SC,29841,33.5251,-81.9394,162,46944
Wooster,OH,44691,40.8094,-81.9483,163,43753
Raleigh,NC,27604,35.8334,-78.5799,164,489514
Greencastle,IN,46135,39.6495,-86.8686,165,20992
Sylmar,CA,91342,34.3054,-118.4322,166,91725
Stockton,CA,95215,37.9551,-121.2041,167,357430
Fairfield,CA,94533,38.2671,-122.0356,168,105693
Prescott Valley,AZ,86314,34.6019,-112.3264,169,41635
Casa Grande,AZ,85193,32.8554,-111.7973,170,62569
Pemberton,NJ,8068,39.9712,-74.6676,171,6727
Cypress Inn,TN,38452,35.0579,-87.7883,172,1091
Thousand Palms,CA,92276,33.8082,-116.3713,173,7585
Easton,MD,21601,38.7768,-76.0758,174,23597
Forrest City,AR,72335,35.0091,-90.7886,175,20121
Tulsa,OK,74115,36.1754,-95.9112,176,413574
Charleston,WV,25314,38.3274,-81.669,177,116525
Merchantville,NJ,8109,39.9519,-75.0482,178,22407
Arlington,TX,76002,32.6255,-97.0784,179,370281
Fayetteville,AR,72704,36.0877,-94.3093,180,89379
Winnebago,NE,68071,42.2339,-96.4685,181,1934
Rancho Santa Fe,CA,92067,33.005,-117.2157,182,10583
Barneveld,WI,53507,43.0158,-89.9042,183,2196
La Crescenta,CA,91214,34.2316,-118.2457,184,30356
Sidney,NE,69162,41.138,-102.9856,185,7765
Maceo,KY,42355,37.8436,-86.9999,186,1852
Chicago,IL,60634,41.9463,-87.8061,187,2680484
Fort Atkinson,WI,53538,42.9229,-88.8467,188,18468
Toledo,WA,98591,46.4396,-122.8266,189,3952
Howell,UT,84316,41.7733,-112.3968,190,254
Philadelphia,PA,19146,39.9379,-75.1794,191,1526206
Menasha,WI,54952,44.2112,-88.4175,192,25729
Lamar,AR,72846,35.4349,-93.3552,193,3913
Newark,OH,43055,40.0724,-82.4046,194,59605
Philadelphia,PA,19124,40.0178,-75.0895,195,1526206
Crestview,FL,32539,30.7773,-86.4832,196,44788
Lake Butler,FL,32054,30.0035,-82.3828,197,12307
Spanish Fork,UT,84660,40.1099,-111.6462,198,37995
Harrison,NY,10528,40.9719,-73.7181,199,12280
Cincinnati,OH,45248,39.1652,-84.6625,200,795220
New Baltimore,MI,48051,42.6938,-82.8207,201,56734
Saint Joseph,MO,64501,39.7688,-94.8385,202,87116
Memphis,TN,38122,35.1572,-89.9268,203,697385
Denver,CO,80210,39.679,-104.9631,204,990452
East Elmhurst,NY,11369,40.7613,-73.8739,205,78303
Hondo,TX,78861,29.3986,-99.1762,206,13701
Lancaster,OH,43130,39.7187,-82.6031,207,59570
Paw Paw,MI,49079,42.2349,-85.9005,208,13606
Scottsdale,AZ,85257,33.4669,-111.9151,209,268597
Kopperl,TX,76652,32.1035,-97.5421,210,1087
Trenton,MI,48183,42.1382,-83.2179,211,43182
Raeford,NC,28376,34.989,-79.2228,212,37991
Erie,PA,16505,42.1109,-80.1534,213,187498
Palmyra,WI,53156,42.8793,-88.5903,214,2992
New Prague,MN,56071,44.5402,-93.5805,215,11817
Saint Francisville,LA,70775,30.8694,-91.4186,216,14720
Deridder,LA,70634,30.8287,-93.2685,217,25125
Pelham,GA,31779,31.1272,-84.1564,218,9927
Sault Sainte Marie,MI,49783,46.4151,-84.2854,219,19668
Windsor,NY,13865,42.0745,-75.6728,220,6371
Bradenton,FL,34202,27.4067,-82.39,221,216518
Opa Locka,FL,33055,25.9476,-80.2778,222,107314
Kingston,NY,12401,41.9697,-74.0668,223,35040
Belleview,FL,34420,29.0531,-82.0375,224,16287
Scottsdale,AZ,85258,33.5647,-111.8931,225,268597
Los Angeles,CA,90043,33.9871,-118.3321,226,2383912
Milwaukee,WI,53222,43.0828,-88.0269,227,817312
Dallas,GA,30157,33.9045,-84.8621,228,79338
Riverside,CA,92506,33.9455,-117.3757,229,419138
El Centro,CA,92243,32.7893,-115.5665,230,48030
Stratham,NH,3885,43.0194,-70.8997,231,7261
Perth Amboy,NJ,8861,40.5176,-74.2754,232,53099
Clear Spring,MD,21722,39.6658,-77.9064,233,5545
Clearwater,MN,55320,45.3877,-94.0452,234,4973
Austin,TX,78753,30.3648,-97.6827,235,940359
Oak Ridge,TN,37830,36.0159,-84.2623,236,29700
Chandler,AZ,85249,33.2414,-111.7745,237,255641
Henderson,NV,89012,36.0119,-115.0433,238,264999
Salt Lake City,UT,84107,40.6568,-111.8904,239,594043
Harlan,IN,46743,41.2285,-84.8386,240,1971
Grandy,NC,27939,36.2339,-75.8768,241,2361
Covington,GA,30014,33.5293,-83.8496,242,86177
Chantilly,VA,20152,38.8976,-77.5092,243,46320
El Macero,CA,95618,38.5462,-121.6676,244,27281
Friendswood,TX,77546,29.5224,-95.1879,245,47636
Metairie,LA,70003,29.9975,-90.2146,246,137067
Johnson City,TN,37615,36.3996,-82.4523,247,92094
Sandy,UT,84093,40.5927,-111.831,248,105585
Auburn,CA,95603,38.9115,-121.08,249,45428
Takoma Park,MD,20912,38.9832,-77.0007,250,24807
Saint Petersburg,FL,33704,27.7954,-82.6373,251,341043
Clint,TX,79836,31.5494,-106.2038,252,5772
Palm Harbor,FL,34685,28.0967,-82.6964,253,74401
Fort Richardson,AK,99505,61.2753,-149.6755,254,6174
Shelburne,VT,5482,44.39,-73.2171,255,7198
Tullahoma,TN,37388,35.3468,-86.22,256,24494
Woodstock,VA,22664,38.887,-78.5217,257,8753
Sarepta,LA,71071,32.9434,-93.4404,258,2685
Huntingtown,MD,20639,38.6095,-76.6003,259,14227
Springfield,MO,65807,37.1668,-93.3085,260,219752
New Ipswich,NH,3071,42.7511,-71.8703,261,5109
De Forest,WI,53532,43.2357,-89.3297,262,13606
Newfolden,MN,56738,48.2894,-96.255,263,1368
Bartlesville,OK,74003,36.744,-95.9921,264,39999
Troy,KS,66087,39.7906,-95.1434,265,2042
Brooklyn,MI,49230,42.1044,-84.2414,266,10475
Dewitt,MI,48820,42.8428,-84.5797,267,16641
Bordentown,NJ,8505,40.1431,-74.7032,268,17736
New York City,NY,10040,40.8583,-73.9296,269,1577385
Forest Lake,MN,55025,45.2685,-92.9749,270,23244
Manchester,NH,3103,42.9656,-71.4493,271,113733
Grove,OK,74344,36.5929,-94.7565,272,14412
Redwood City,CA,94062,37.4245,-122.296,273,104429
Frost,TX,76641,32.0275,-96.7684,274,1674
Tacoma,WA,98406,47.2632,-122.4993,275,323239
Oxford,MA,1540,42.1128,-71.8687,276,11291
West Chester,PA,19380,39.9845,-75.5962,277,105091
Denver,CO,80207,39.7584,-104.9177,278,990452
Ada,OH,45810,40.7709,-83.8154,279,8460
Louisville,KY,40216,38.1865,-85.8335,280,736284
Lexington,SC,29073,33.8632,-81.2351,281,90341
Mcallen,TX,78504,26.2556,-98.2303,282,131628
Buckhannon,WV,26201,38.9755,-80.2407,283,19701
Burlington,WI,53105,42.666,-88.2749,284,29225
Hayden,ID,83835,47.7989,-116.7423,285,19990
North Hollywood,CA,91605,34.2057,-118.4001,286,155954
Onsted,MI,49265,42.0295,-84.1839,287,4958
Nacogdoches,TX,75965,31.7195,-94.6168,288,55627
Highland,CA,92346,34.1565,-117.1403,289,54923
Carthage,MO,64836,37.1597,-94.3112,290,23940
Buffalo,NY,14220,42.8441,-78.8182,291,564824
Attalla,AL,35954,34.0296,-86.0967,292,12416
Mineral,TX,78125,28.5552,-97.9407,293,96
Spencerport,NY,14559,43.1895,-77.8043,294,18057
Beaumont,TX,77703,30.1132,-94.1197,295,142692
Jersey City,NJ,7304,40.718,-74.0754,296,247530
Ocala,FL,34479,29.2541,-82.1095,297,207224
Chowchilla,CA,93610,37.1014,-120.2691,298,23833
Ellabell,GA,31308,32.1273,-81.4983,299,7305
Blackshear,GA,31516,31.2931,-82.2617,300,14735
Sugarcreek,OH,44681,40.5148,-81.6604,301,7799
Iowa City,IA,52245,41.6649,-91.5151,302,77509
Hebron,ND,58638,46.8936,-102.0367,303,992
Spring Hill,FL,34608,28.4797,-82.5562,304,115476
Anderson,SC,29624,34.4373,-82.6251,305,93613
Atlanta,GA,30339,33.8712,-84.4629,306,900273
Montebello,CA,90640,34.0133,-118.113,307,62549
Los Angeles,CA,90008,34.0116,-118.3411,308,2383912
Fredericksburg,VA,22408,38.2481,-77.4681,309,156008
Seattle,WA,98118,47.5412,-122.275,310,837792
Castaic,CA,91384,34.4827,-118.6254,311,29855
Lawrenceburg,TN,38464,35.2507,-87.3526,312,22293
Oshkosh,WI,54904,44.0304,-88.607,313,80708
Goldsboro,NC,27530,35.3683,-78.0929,314,72075
Billerica,MA,1821,42.5519,-71.2518,315,30310
Carroll,OH,43112,39.7957,-82.7084,316,4617
Laredo,TX,78041,27.5569,-99.4907,317,248858
Duluth,GA,30097,34.026,-84.147,318,103980
Andalusia,AL,36420,31.2971,-86.4905,319,19914
Walton,NY,13856,42.1756,-75.1532,320,6596
Irvine,CA,92614,33.6829,-117.8298,321,212569
Chalmette,LA,70043,29.9466,-89.9611,322,16760
Cedar Rapids,IA,52404,41.9521,-91.6853,323,134152
Oceanside,CA,92057,33.2407,-117.3025,324,188742
Ardmore,OK,73401,34.1566,-97.1792,325,34927
Manassas,VA,20109,38.793,-77.5266,326,137564
Reidsville,NC,27320,36.3432,-79.6642,327,39351
Compton,CA,90221,33.8796,-118.2168,328,134901
Granville,IA,51022,42.9693,-95.8972,329,789
Appleton,WI,54911,44.2773,-88.3976,330,116633
Dana Point,CA,92629,33.4743,-117.6964,331,25756
Kirkland,WA,98034,47.7188,-122.1966,332,74745
Olivehurst,CA,95961,39.0861,-121.5497,333,26510
Boyce,VA,22620,39.0698,-78.0203,334,2348
Frankford,DE,19945,38.5177,-75.2006,335,6862
Brooklyn,NY,11226,40.6467,-73.957,336,2504700
Silver Creek,GA,30173,34.1593,-85.1429,337,6221
Wausau,WI,54403,44.9529,-89.5318,338,54974
Mount Sterling,KY,40353,38.0548,-83.9388,339,20779
Ashland,KY,41101,38.4722,-82.6461,340,40470
Los Angeles,CA,90033,34.0487,-118.2084,341,2383912
Pinole,CA,94564,37.9969,-122.2875,342,18287
Beaver Dam,WI,53916,43.4616,-88.8407,343,22507
Sacramento,CA,95819,38.5683,-121.4366,344,757530
Oxford,PA,19363,39.7827,-75.9815,345,17055
Stanardsville,VA,22973,38.3121,-78.482,346,6191
Worthington,MN,56187,43.6286,-95.6059,347,14170
Alabaster,AL,35007,33.1934,-86.7944,348,26225
Jamesville,NY,13078,42.983,-76.0766,349,9866
Bethesda,MD,20817,38.9896,-77.1538,350,80090
Baytown,TX,77523,29.77,-94.8608,351,103027
Rocky River,OH,44116,41.4694,-81.8512,352,20268
Providence,RI,2908,41.8383,-71.4377,353,203571
China Grove,NC,28023,35.5669,-80.59,354,14175
Buffalo,MN,55313,45.1814,-93.8635,355,23255
Buffalo,NY,14213,42.9167,-78.8895,356,564824
Bristol,NH,3222,43.612,-71.7507,357,5353
Saint Clair,MI,48079,42.8255,-82.5133,358,12304
Plymouth,ME,4969,44.7699,-69.2266,359,1362
Springdale,AR,72764,36.1716,-94.0428,360,85572
Belpre,OH,45714,39.2868,-81.5968,361,9951
Mokena,IL,60448,41.5342,-87.8911,362,24423
Hudsonville,MI,49426,42.8748,-85.8751,363,33244
Peekskill,NY,10566,41.2892,-73.9184,364,23570
Portland,OR,97203,45.5889,-122.7347,365,841711
Seward,NE,68434,40.9066,-97.0966,366,8576
Chicago,IL,60620,41.7411,-87.6543,367,2680484
Fullerton,CA,92835,33.8994,-117.9063,368,134733
Weirton,WV,26062,40.4137,-80.5683,369,21801
Salt Lake City,UT,84119,40.7016,-111.9461,370,594043
Ocean Springs,MS,39564,30.4404,-88.7801,371,56405
Manhattan,IL,60442,41.4289,-87.9771,372,9924
Dayton,OH,45409,39.7238,-84.1854,373,479994
Aumsville,OR,97325,44.8313,-122.8517,374,6614
Tampa,FL,33604,28.0173,-82.4578,375,717255
Falls Church,VA,22046,38.8856,-77.1802,376,116155
Holland,MI,49423,42.7692,-86.1164,377,89737
Greens Fork,IN,47345,39.8916,-85.0494,378,1448
Smock,PA,15480,39.9961,-79.7678,379,1946
Dallas,TX,75205,32.826,-96.7843,380,1263321
Laguna Hills,CA,92653,33.5916,-117.6985,381,45303
Reed City,MI,49677,43.8868,-85.513,382,6631
Saint Marys,OH,45885,40.544,-84.3944,383,12661
Carlsbad,CA,92009,33.0954,-117.2619,384,105183
Simi Valley,CA,93065,34.2656,-118.7653,385,126874
Milford,OH,45150,39.1657,-84.233,386,31394
New York City,NY,10030,40.8183,-73.9426,387,1577385
Moreno Valley,CA,92553,33.9157,-117.2351,388,193933
Hamilton,OH,45011,39.4059,-84.5221,389,134328
Toledo,OH,43612,41.7046,-83.5656,390,316948
Fort Lauderdale,FL,33322,26.1502,-80.2745,391,711693
Kapaa,HI,96746,22.0868,-159.3448,392,18319
Racine,WI,53406,42.7242,-87.8551,393,127302
Sequatchie,TN,37374,35.1634,-85.6371,394,2047
Seattle,WA,98178,47.4924,-122.2359,395,837792
Phoenix,AZ,85035,33.4724,-112.1832,396,1312922
Sioux Falls,SD,57108,43.4775,-96.7041,397,161141
Ruskin,FL,33570,27.7015,-82.4355,398,20758
Jersey City,NJ,7307,40.7482,-74.0498,399,247530
Littlefield,AZ,86432,36.4612,-113.5893,400,3933
White Lake,WI,54491,45.1715,-88.7555,401,1652
Oklahoma City,OK,73130,35.4604,-97.3419,402,640470
Central,SC,29630,34.7401,-82.7947,403,14186
San Ysidro,CA,92173,32.5626,-117.043,404,29429
Waynesboro,MS,39367,31.6754,-88.6782,405,15096
Muscle Shoals,AL,35661,34.7561,-87.6304,406,16617
Chicago,IL,60610,41.9033,-87.6336,407,2680484
Whitesboro,TX,76273,33.659,-96.879,408,9135
Long Beach,NY,11561,40.5877,-73.6595,409,37280
Avondale,PA,19311,39.8219,-75.7687,410,8584
New Brunswick,NJ,8901,40.4891,-74.4482,411,55223
Montgomery Village,MD,20886,39.1757,-77.1872,412,33282
Orange,CA,92869,33.7868,-117.7934,413,141692
Bolingbrook,IL,60440,41.6976,-88.0873,414,73374
Spokane,WA,99217,47.738,-117.2557,415,342856
Rochester,NY,14609,43.174,-77.5637,416,478127
Rockville,MD,20853,39.0887,-77.095,417,130569
Oconto,WI,54153,44.8914,-87.8917,418,7252
Taylor,MO,63471,39.9145,-91.5278,419,639
Atchison,KS,66002,39.5594,-95.1304,420,13755
Sheridan,WY,82801,44.7849,-106.9648,421,24558
Mattawan,MI,49071,42.2451,-85.7943,422,9174
Chicago,IL,60629,41.7781,-87.7069,423,2680484
Cedar Hill,MO,63016,38.3573,-90.6498,424,7582
Waterford,MI,48328,42.6429,-83.3546,425,71528
Washougal,WA,98671,45.5959,-122.3104,426,21220
Baltimore,MD,21209,39.3716,-76.6744,427,635495
Salt Lake City,UT,84106,40.7056,-111.8548,428,594043
Magnolia,TX,77355,30.1598,-95.7402,429,54225
Woodstock,MD,21163,39.3498,-76.8456,430,7026
Shady Cove,OR,97539,42.6212,-122.7561,431,3329
Greenfield,MA,1301,42.6013,-72.6236,432,17700
Wyandotte,MI,48192,42.2084,-83.1616,433,25883
Austell,GA,30106,33.8369,-84.6307,434,44541
Newport Beach,CA,92661,33.6045,-117.9021,435,62946
Loyall,KY,40854,36.8481,-83.353,436,1213
Katy,TX,77449,29.8323,-95.736,437,250975
Newark,DE,19713,39.6699,-75.7151,438,138967
Des Moines,IA,50317,41.6122,-93.5296,439,222785
Enterprise,AL,36330,31.3408,-85.8421,440,35530
Camp Lejeune,NC,28547,34.6909,-77.3614,441,21884
Bronx,NY,10468,40.8662,-73.9003,442,1382480
Revere,MA,2151,42.4138,-71.0052,443,51808
Forest Hills,NY,11375,40.7229,-73.8473,444,68733
Peoria,IL,61603,40.7132,-89.577,445,142158
White City,OR,97503,42.4319,-122.8296,446,10528
Kansas City,MO,64114,38.9621,-94.5959,447,545147
Weymouth,MA,2188,42.2113,-70.9582,448,53743
Waukegan,IL,60085,42.3542,-87.8651,449,98692
Payson,AZ,85541,34.2198,-111.2878,450,21877
San Diego,CA,92117,32.8239,-117.1965,451,1241364
Muskego,WI,53150,42.9047,-88.1214,452,24850
Largo,FL,33773,27.8802,-82.7534,453,121061
Victorville,CA,92394,34.5563,-117.3528,454,130495
Rescue,CA,95672,38.7194,-120.9945,455,4773
Battle Creek,MI,49015,42.3028,-85.2128,456,92270
Palm Bay,FL,32909,27.9694,-80.6473,457,104966
Brookline,MA,2445,42.3259,-71.1341,458,49990
Sterling Heights,MI,48312,42.5592,-83.0029,459,129683
Fort Collins,CO,80525,40.5384,-105.0547,460,175625
Caddo,OK,74729,34.1157,-96.26,461,2741
Atlanta,GA,30317,33.7498,-84.3168,462,900273
Buckeye,AZ,85396,33.468,-112.4787,463,63868
Mcallen,TX,78501,26.2154,-98.2359,464,131628
Port Jefferson Station,NY,11776,40.9136,-73.0464,465,24235
Jersey City,NJ,7305,40.702,-74.089,466,247530
Waycross,GA,31503,31.1932,-82.3766,467,36692
Pittsburg,IL,62974,37.8047,-88.8081,468,1401
Paducah,KY,42003,37.0368,-88.5934,469,57643
Marshfield,WI,54449,44.6615,-90.1784,470,26418
Carmichael,CA,95608,38.6284,-121.3287,471,59418
Cave Junction,OR,97523,42.1348,-123.6272,472,6264
Harrison City,PA,15636,40.366,-79.6565,473,3946
Westwego,LA,70094,29.8973,-90.2033,474,31669
Jackson,MS,39208,32.2604,-90.0897,475,233060
Smithfield,UT,84335,41.8403,-111.8528,476,11372
Fairbanks,AK,99712,64.9109,-147.5105,477,63999
Wright,WY,82732,43.7614,-105.5201,478,2154
Mc Minnville,TN,37110,35.684,-85.7782,479,32495
Modesto,CA,95358,37.6237,-121.0438,480,255354
Wendell,MN,56590,46.0562,-96.1144,481,373
Cutler,CA,93615,36.5243,-119.287,482,6042
Gold Canyon,AZ,85118,33.3284,-111.3502,483,12246
Marion Station,MD,21838,38.0266,-75.7579,484,1736
Springfield,MO,65810,37.1136,-93.2896,485,219752
Tallmadge,OH,44278,41.0975,-81.426,486,17868
Newport Beach,CA,92660,33.6295,-117.8684,487,62946
Stokesdale,NC,27357,36.2552,-79.9705,488,7894
Racine,WI,53402,42.7726,-87.796,489,127302
Smyrna,DE,19977,39.2934,-75.6008,490,22984
Saint Louis,MO,63115,38.6756,-90.2385,491,927396
Austin,TX,78751,30.3093,-97.7242,492,940359
Winnfield,LA,71483,31.9214,-92.6366,493,11294
Ayden,NC,28513,35.4565,-77.4051,494,10346
Memphis,TN,38126,35.1255,-90.0424,495,697385
La Vista,NE,68128,41.1814,-96.0658,496,17784
Aurora,IL,60506,41.7664,-88.3446,497,206095
Pekin,IL,61554,40.5674,-89.6243,498,43810
Athens,GA,30607,34.007,-83.4278,499,116272
Sandwich,IL,60548,41.6353,-88.6393,500,12218
Houston,TX,77018,29.8272,-95.4266,501,2906700
