merchant,id_geolocation,id_merchant
"Hahn, Douglas and Schowalter",3649,271
Lesch Ltd,3289,272
Streich Ltd,4534,273
Conroy-Cruickshank,1553,274
"Kuhic, Bins and Pfeffer",2546,275
Huel Ltd,3946,276
Kutch and Sons,3630,277
Mohr-Bayer,1182,278
Flatley-Durgan,3968,279
Gleason-Macejkovic,628,280
"Kling, Howe and Schneider",1815,281
"Medhurst, Cartwright and Ebert",117,282
Padberg-Welch,6239,283
"Hyatt, Russel and Gleichner",2309,284
Erdman-Durgan,2176,285
Kassulke PLC,2521,286
Torp-Labadie,5114,287
Treutel-King,904,288
"Ritchie, Bradtke and Stiedemann",5605,289
Lind-Buckridge,4150,290
Crona and Sons,5105,291
Kuhn LLC,3712,292
"Jenkins, Hauck and Friesen",1136,293
Weimann-Lockman,5882,294
"Kihn, Brakus and Goyette",286,295
Cruickshank-Mills,1496,296
Goodwin-Nitzsche,1383,297
Jakubowski Group,3872,298
Gibson-Deckow,2663,299
"Reichert, Rowe and Mraz",5984,300
Kassulke PLC,4637,301
Pacocha-O'Reilly,6098,302
Bahringer-Larson,4304,303
Stamm-Witting,4966,304
Zemlak Group,4966,305
Brown PLC,6190,306
"Harris, Gusikowski and Heaney",1136,307
Abbott-Rogahn,1105,308
Kris-Weimann,5354,309
"Robel, Cummerata and Prosacco",4637,310
McCullough Group,784,311
"Brown, Homenick and Lesch",767,312
"Baumbach, Strosin and Nicolas",3712,313
Dooley Inc,6046,314
Pagac LLC,3361,315
"Morissette, Weber and Wiegand",1616,316
Prohaska-Murray,1473,317
Ruecker-Mayert,1354,318
"Raynor, Feest and Miller",2924,319
"Wuckert, Wintheiser and Friesen",1948,320
Breitenberg-Hermiston,3689,321
Medhurst PLC,1077,322
Mohr Inc,1668,323
Nader-Heller,2294,324
Hoppe-Parisian,4534,325
"Tillman, Dickinson and Labadie",2979,326
Kling Inc,1746,327
"McDermott, Osinski and Morar",5766,328
Kemmer-Buckridge,5984,329
Williamson LLC,2979,330
"Eichmann, Hayes and Treutel",6089,331
"Roberts, Ryan and Smith",23,332
"Kihn, Brakus and Goyette",5073,333
"Berge, Kautzer and Harris",5984,334
Harris Inc,3557,335
Bahringer-Larson,767,336
Bogisich-Weimann,4826,337
"Stokes, Christiansen and Sipes",4100,338
Goyette Inc,623,339
Lynch-Wisozk,3361,340
"Hodkiewicz, Prohaska and Paucek",4626,341
Pfeffer LLC,1472,342
"Olson, Becker and Koch",3011,343
Yost-Rogahn,1553,344
Mayert Group,6034,345
Kassulke PLC,4400,346
"Streich, Hansen and Veum",5201,347
Cole PLC,2857,348
Jast-McDermott,3366,349
Block-Hauck,636,350
Johns Inc,1616,351
"Romaguera, Cruickshank and Greenholt",904,352
Huels-Hahn,3472,353
Lynch Ltd,6306,354
Sporer-Keebler,5984,355
"Kuhic, Bins and Pfeffer",4133,356
Dare-Marvin,4304,357
"Streich, Rolfson and Wilderman",4133,358
Reilly LLC,6190,359
Tromp Group,4583,360
Gutmann Ltd,4504,361
Jaskolski-Vandervort,767,362
Osinski Inc,126,363
Waelchi Inc,2076,364
Fahey Inc,4873,365
Kutch-Ferry,4187,366
Torphy-Goyette,496,367
"Hayes, Marquardt and Dibbert",880,368
Durgan-Auer,6051,369
Kris-Kertzmann,2546,370
McCullough LLC,126,371
"Nitzsche, Kessler and Wolff",6239,372
Schmitt Ltd,4826,373
Kirlin and Sons,3890,374
"Reichel, Bradtke and Blanda",2806,375
Johns Inc,1472,376
Rau-Grant,286,377
Gottlieb-Hansen,3366,378
"Hyatt, Russel and Gleichner",3539,379
Block-Parisian,2521,380
McDermott-Weimann,1936,381
Torp-Lemke,4604,382
Wilkinson Ltd,3147,383
Sporer-Keebler,651,384
Schaefer Ltd,5984,385
Windler LLC,1620,386
Lemke and Sons,6306,387
Cummings LLC,5307,388
Leffler-Goldner,5587,389
Rau and Sons,636,390
Harber Inc,4230,391
Bednar PLC,1553,392
Kutch Group,636,393
"Goyette, Howell and Collier",1077,394
"Bernier, Streich and Jewess",2594,395
Grimes LLC,4463,396
"Herman, Treutel and Dickens",1136,397
"Prosacco, Kreiger and Kovacek",5984,398
Kutch-Ferry,6098,399
Langworth LLC,5444,400
"Monahan, Hermann and Johns",5007,401
Heaney-Marquardt,1553,402
Torphy-Kertzmann,1383,403
"Turcotte, McKenzie and Koss",3539,404
O'Connell-Ullrich,1136,405
Smith-Stokes,4583,406
Berge-Ullrich,1835,407
Carroll PLC,3689,408
McDermott-Weimann,2080,409
"Fadel, Mertz and Rippin",5914,410
Crooks and Sons,1182,411
Heathcote LLC,4604,412
"Harris, Gusikowski and Heaney",1354,413
"Hills, Hegmann and Schaefer",636,414
"Bernier, Volkman and Hoeger",3025,415
Johns Inc,4657,416
"Graham, Hegmann and Hammes",1469,417
Kihn Inc,1512,418
"Langworth, Boehm and Gulgowski",1770,419
Powlowski-Weimann,3274,420
Padberg-Sauer,5984,421
Kihn-Fritsch,1545,422
Gutmann Ltd,1473,423
Schmitt Ltd,1974,424
Wiza LLC,4351,425
Botsford PLC,1746,426
Jakubowski Group,2740,427
Altenwerth-Kilback,286,428
Kuphal-Bartoletti,5454,429
Koepp-Witting,2806,430
Deckow-O'Conner,1354,431
Leffler-Goldner,5699,432
Gleason and Sons,3922,433
"Schneider, Hayes and Nikolaus",2924,434
Emmerich-Rau,5307,435
Kris-Kertzmann,1472,436
Dare-Gibson,4657,437
"McDermott, Osinski and Morar",678,438
Torp-Lemke,6190,439
Lockman Ltd,2546,440
Bernier and Sons,3025,441
DuBuque LLC,3011,442
Stark-Batz,2521,443
Bogisich-Weimann,6103,444
"Mueller, Gerhold and Mueller",4826,445
Reilly and Sons,5038,446
Quitzon-Goyette,2663,447
"Roberts, Daniel and Macejkovic",1958,448
Auer-West,4154,449
"Crist, Jakubowski and Littel",3539,450
Skiles-Ankunding,2740,451
DuBuque LLC,1276,452
"Nienow, Barrows and Romaguera",1668,453
"Schaefer, McGlynn and Bosco",1958,454
Wiza LLC,5073,455
Morar Inc,2294,456
"Bahringer, Bergnaum and Quitzon",2363,457
Lebsack and Sons,2334,458
Rodriguez Group,3734,459
"Klocko, Runolfsdottir and Breitenberg",3920,460
"Metz, Russel and Metz",2294,461
Zboncak LLC,3917,462
Pfeffer and Sons,4463,463
McGlynn-Jaskolski,6051,464
"Effertz, Welch and Schowalter",1368,465
Schuppe-Schuppe,628,466
"Hahn, Douglas and Schowalter",4880,467
"Kihn, Brakus and Goyette",2594,468
Morissette PLC,2663,469
Kris-Weimann,4304,470
Carroll PLC,4100,471
Jakubowski Group,4128,472
Mayert Group,6089,473
Morar Inc,4230,474
Pfeffer and Sons,3147,475
"Feil, Hilpert and Koss",4971,476
Upton PLC,3557,477
"Lind, Huel and McClure",3890,478
Schmeler-Howe,5007,479
"Schoen, Nienow and Bauch",6239,480
Corwin-Collins,1746,481
Prosacco LLC,3922,482
Maggio-Fahey,5357,483
"Koss, Hansen and Lueilwitz",2164,484
Kunde-Sanford,5357,485
Powlowski-Weimann,1512,486
Price Inc,3712,487
Breitenberg LLC,3908,488
Kilback and Sons,986,489
"Hettinger, McCullough and Fay",1770,490
Botsford Ltd,6103,491
Champlin and Sons,2564,492
Bednar Inc,2546,493
Auer LLC,6051,494
Johnston-Casper,2526,495
Wilkinson Ltd,4971,496
Buckridge PLC,1136,497
"Zboncak, Rowe and Murazik",1036,498
"Streich, Hansen and Veum",1077,499
"Monahan, Hermann and Johns",5357,500
"Schiller, Blanda and Johnson",2108,501
Dibbert-Green,2309,502
"McCullough, Hudson and Schuster",4150,503
Kihn-Fritsch,4626,504
Friesen-Ortiz,4187,505
"Boehm, Block and Jakubowski",733,506
"O'Connell, Botsford and Hand",880,507
Johnston-Casper,3928,508
"Mosciski, Gislason and Mertz",2546,509
Jacobi Inc,5882,510
Skiles-Ankunding,217,511
"O'Connell, Botsford and Hand",496,512
"Adams, Kovacek and Kuhlman",2979,513
Terry-Huel,4504,514
"Rodriguez, Yost and Jenkins",4855,515
Rempel PLC,5200,516
Jast and Sons,1036,517
"Zemlak, Tillman and Cremin",1960,518
"Reichert, Shanahan and Hayes",496,519
"Schroeder, Hauck and Treutel",1948,520
"Stroman, Hudson and Erdman",1746,521
Block-Parisian,4657,522
"Hayes, Marquardt and Dibbert",3274,523
Morissette LLC,2363,524
Grimes LLC,5737,525
Towne LLC,671,526
"Cole, Hills and Jewess",4128,527
Volkman PLC,3011,528
Ernser-Feest,333,529
Champlin-Casper,5444,530
Deckow-Dare,4187,531
"Conroy, Balistreri and Gorczany",1383,532
"Bahringer, Schoen and Corkery",2546,533
"Schoen, Nienow and Bauch",1043,534
Hills-Witting,986,535
Murray Ltd,1182,536
Mosciski Group,2108,537
Koelpin and Sons,2924,538
"Greenfelder, Bartoletti and Davis",3928,539
"McLaughlin, Armstrong and Koepp",5038,540
"Turcotte, McKenzie and Koss",623,541
"Swaniawski, Bahringer and Ledner",1077,542
"Okuneva, Schneider and Rau",4971,543
"Stanton, Jakubowski and Baumbach",1908,544
Waelchi Inc,4604,545
Rutherford-Mertz,286,546
Larson-Moen,2363,547
Keeling-Crist,5114,548
Donnelly LLC,4493,549
"Bahringer, Bergnaum and Quitzon",1182,550
"Hills, Hegmann and Schaefer",5942,551
Kirlin and Sons,496,552
Ankunding LLC,6024,553
Wilkinson LLC,6051,554
"Towne, Greenholt and Koepp",880,555
"Hettinger, McCullough and Fay",1668,556
Hickle Group,1203,557
"Eichmann, Bogan and Rodriguez",4187,558
Berge-Ullrich,733,559
"Schroeder, Hauck and Treutel",1469,560
Gulgowski LLC,4534,561
McKenzie-Huels,1136,562
Reilly and Sons,5007,563
"Crist, Jakubowski and Littel",1473,564
"Greenfelder, Bartoletti and Davis",117,565
Lynch-Mohr,1974,566
"Hagenes, Kohler and Hoppe",153,567
"Wiza, Schaden and Stark",2309,568
Beier LLC,5699,569
Roob-Okuneva,5444,570
"Olson, Becker and Koch",6024,571
Lebsack and Sons,1512,572
Bashirian Group,6051,573
Hyatt-Blick,1182,574
Deckow-Dare,6104,575
Cummings LLC,1105,576
"Bins, Balistreri and Beatty",5073,577
"Cronin, Kshlerin and Weber",3800,578
Barton LLC,117,579
"Lockman, West and Runte",1354,580
"Ledner, Hartmann and Feest",2924,581
Gutmann-Upton,117,582
Ortiz Group,4304,583
"Hermiston, Russel and Price",5007,584
Jaskolski-Vandervort,3361,585
"Feil, Hilpert and Koss",5984,586
Balistreri-Nader,23,587
"Lehner, Reichert and Mills",1974,588
Towne LLC,225,589
"Turcotte, McKenzie and Koss",5073,590
Padberg-Sauer,4657,591
"Towne, Greenholt and Koepp",5914,592
"Streich, Rolfson and Wilderman",3289,593
Champlin and Sons,4150,594
"Hahn, Bahringer and McLaughlin",1553,595
"Hagenes, Kohler and Hoppe",1846,596
"Hauck, Dietrich and Funk",217,597
Rippin-VonRueden,1182,598
Crona and Sons,904,599
Brown-Greenholt,3689,600
"Windler, Goodwin and Kovacek",3920,601
Kilback LLC,2546,602
"Douglas, Schneider and Turner",4100,603
Beer-Jast,2164,604
Bauch-Blanda,5105,605
Goyette-Gerhold,3649,606
"Ritchie, Oberbrunner and Cremin",636,607
Smitham-Boehm,4230,608
Shields Inc,5454,609
Hammes-Beatty,2521,610
Kassulke Inc,2816,611
Wuckert-Goldner,1908,612
"Zemlak, Tillman and Cremin",2663,613
Haag-Blanda,5038,614
"Effertz, Welch and Schowalter",6104,615
Medhurst PLC,6214,616
"Herman, Treutel and Dickens",2164,617
Spencer-Runolfsson,4351,618
Tillman LLC,3890,619
Sporer-Keebler,3800,620
Morissette PLC,4855,621
"Cole, Hills and Jewess",217,622
Kub PLC,3689,623
"Bernier, Streich and Jewess",2924,624
Predovic Inc,6033,625
"Hermiston, Pacocha and Smith",6034,626
O'Connell-Ullrich,1545,627
Wilkinson PLC,1473,628
"Welch, Rath and Koepp",2526,629
Turner and Sons,2564,630
Romaguera Ltd,5007,631
"Hodkiewicz, Prohaska and Paucek",4150,632
Bogisich-Weimann,3872,633
"Hyatt, Russel and Gleichner",1974,634
Shields-Wunsch,986,635
"Altenwerth, Cartwright and Koss",3125,636
Lynch Ltd,1469,637
Wilkinson PLC,1320,638
Herman Inc,1668,639
Deckow-O'Conner,1383,640
"McLaughlin, Armstrong and Koepp",1383,641
Spencer-Runolfsson,651,642
Abbott-Steuber,1958,643
"O'Connell, Botsford and Hand",2597,644
Bradtke PLC,2816,645
"Schaefer, McGlynn and Bosco",5605,646
Murray Ltd,5114,647
"Altenwerth, Cartwright and Koss",702,648
Fadel Inc,702,649
Kovacek Ltd,5486,650
Lesch Ltd,3920,651
Hackett Group,2806,652
Hilpert-Conroy,904,653
Kihn Inc,217,654
"Baumbach, Strosin and Nicolas",702,655
Klocko LLC,2526,656
Adams-Barrows,1326,657
"Stokes, Christiansen and Sipes",2164,658
Bauch-Raynor,4304,659
Larkin Ltd,5454,660
Brekke and Sons,5942,661
Dicki Ltd,2164,662
"Reilly, Heaney and Cole",1036,663
Kassulke PLC,5007,664
Bins-Howell,4304,665
Sporer-Keebler,3928,666
"Kihn, Brakus and Goyette",4127,667
Strosin-Cruickshank,4343,668
Medhurst Inc,6306,669
Nolan-Williamson,651,670
"Turner, Ziemann and Lehner",2076,671
Bauch-Raynor,5984,672
"Boehm, Block and Jakubowski",1203,673
Fadel Inc,3712,674
Bednar Group,6104,675
Dach-Nader,6214,676
Ratke and Sons,2806,677
"Stehr, Jewess and Schimmel",3946,678
Volkman-Predovic,5444,679
Wiza LLC,1472,680
Schoen-Quigley,4052,681
Kunze Inc,4187,682
Durgan-Auer,2564,683
Zboncak Ltd,986,684
Herzog Ltd,1668,685
"Stokes, Christiansen and Sipes",2979,686
Beer-Jast,6034,687
Bogisich-Homenick,4230,688
Goyette-Herzog,4873,689
Friesen-D'Amore,880,690
Abernathy and Sons,1835,691
Sawayn PLC,2309,692
Heidenreich PLC,5882,693
"Runolfsdottir, Mueller and Hand",4230,694
"Kovacek, Dibbert and Ondricka",5107,695
"Hodkiewicz, Prohaska and Paucek",2663,696
"Hartmann, Rowe and Hermann",880,697
Crooks and Sons,333,698
Leannon-Nikolaus,6051,699
"Schumm, Bauch and Ondricka",5882,700
"Raynor, Reinger and Hagenes",2164,701
Friesen Ltd,5605,702
Kemmer-Buckridge,2080,703
"Towne, Walker and Borer",5326,704
Morar Inc,3712,705
"Larkin, Stracke and Greenfelder",4971,706
"Reichert, Huels and Hoppe",2816,707
Friesen Inc,1182,708
"Hagenes, Hermann and Stroman",6239,709
Mohr-Bayer,6089,710
Waters-Cruickshank,1105,711
Bogisich-Homenick,3557,712
Johns Inc,651,713
"Schiller, Blanda and Johnson",2526,714
Cormier LLC,2173,715
Fritsch and Sons,5107,716
Kozey-Kuhlman,4504,717
Hudson-Ratke,5307,718
"Effertz, Welch and Schowalter",4873,719
Conroy-Emard,4400,720
Pacocha-Bauch,1105,721
"Kovacek, Dibbert and Ondricka",6190,722
Kessler Inc,4304,723
Volkman PLC,3589,724
"Reinger, Weissnat and Strosin",5354,725
Hirthe-Beier,767,726
"Roob, Conn and Tremblay",5949,727
Altenwerth-Kilback,3872,728
Bailey-Morar,4637,729
Ledner-Pfannerstill,2979,730
Dickinson Ltd,3125,731
Parisian and Sons,2176,732
Ullrich Ltd,1383,733
Kutch Group,5454,734
"Runolfsdottir, Mueller and Hand",2546,735
Zboncak LLC,217,736
Kutch and Sons,6306,737
Hintz-Bruen,3920,738
Ebert-Daugherty,6046,739
"Lesch, D'Amore and Brown",6239,740
Hoppe-Parisian,1077,741
"Hagenes, Kohler and Hoppe",117,742
Lynch-Mohr,4100,743
Fadel Inc,5200,744
Beer-Jast,5200,745
McKenzie-Huels,217,746
Skiles LLC,986,747
"Reichert, Shanahan and Hayes",2924,748
Howe Ltd,3689,749
"Reichel, Bradtke and Blanda",3712,750
"Koss, Hansen and Lueilwitz",6033,751
Heller-Langosh,2979,752
Harris Inc,4100,753
Keeling-Crist,2564,754
Deckow-O'Conner,5914,755
"Stehr, Jewess and Schimmel",1473,756
Huels-Hahn,1472,757
Thiel-Thiel,5307,758
"Reinger, Weissnat and Strosin",3908,759
Padberg-Sauer,4971,760
Berge-Ullrich,6103,761
Dare-Gibson,117,762
Torp-Lemke,1770,763
"Christiansen, Goyette and Schamberger",3734,764
"Moore, Dibbert and Koepp",6089,765
"Gutmann, McLaughlin and Wiza",3928,766
Daugherty LLC,3366,767
Tromp Group,2924,768
Bartoletti and Sons,733,769
Kuhn LLC,5486,770
"Hettinger, McCullough and Fay",6104,771
Berge LLC,126,772
"Boehm, Block and Jakubowski",2108,773
Nader-Maggio,3366,774
Torphy-Goyette,671,775
Gutmann-Upton,5248,776
Welch Inc,3589,777
Wilkinson PLC,1443,778
Ullrich Ltd,678,779
Sawayn PLC,1974,780
Watsica LLC,126,781
Christiansen-Gusikowski,3589,782
Stiedemann Ltd,2597,783
"Nitzsche, Kessler and Wolff",4626,784
Larkin Ltd,6306,785
Buckridge PLC,5984,786
Kutch-Wilderman,3917,787
Ernser-Lynch,1368,788
"O'Reilly, Mohr and Purdy",3125,789
"Kutch, Steuber and Gerhold",1368,790
Williamson LLC,2546,791
"Larson, Quitzon and Spencer",1948,792
Fadel Inc,4971,793
Schaefer Ltd,4966,794
VonRueden Group,2076,795
Thompson-Gleason,4966,796
Ankunding LLC,3274,797
Paucek-Wiza,1616,798
Barton LLC,1136,799
"Schiller, Blanda and Johnson",3890,800
"Kerluke, Considine and Macejkovic",1160,801
Kuhn Group,5258,802
"Schoen, Nienow and Bauch",4604,803
"Reilly, Heaney and Cole",5105,804
Roob-Okuneva,126,805
"Kutch, Hermiston and Farrell",3274,806
"Kovacek, Dibbert and Ondricka",2594,807
Goldner-Lemke,4150,808
Dicki Ltd,3968,809
Beier-Hyatt,4400,810
Carroll PLC,1368,811
Gaylord-Powlowski,702,812
Weber and Sons,1182,813
Williamson LLC,1936,814
Daugherty-Thompson,286,815
Weber and Sons,4826,816
"Nitzsche, Kessler and Wolff",5984,817
Welch Inc,2526,818
"Torp, Muller and Borer",3872,819
"Okuneva, Schneider and Rau",3908,820
Osinski Inc,5151,821
"Weber, Thiel and Hammes",4639,822
"Schneider, Hayes and Nikolaus",2176,823
Skiles-Ankunding,6089,824
Reynolds-Schinner,3025,825
"Weber, Thiel and Hammes",2740,826
"Schmeler, Bashirian and Price",6306,827
"Runolfsdottir, Mueller and Hand",6051,828
Harber Inc,1496,829
Pacocha-O'Reilly,2309,830
Kunde-Sanford,1043,831
Gibson-Deckow,4351,832
Williamson LLC,2176,833
Kozey-McDermott,2663,834
Cummerata-Hilpert,3920,835
"Rowe, Batz and Goodwin",1668,836
Nolan-Williamson,3589,837
"Connelly, Reichert and Fritsch",1443,838
Morissette PLC,4304,839
Johns-Hoeger,4128,840
Bednar Group,2080,841
"Zemlak, Tillman and Cremin",4657,842
Gaylord-Powlowski,5862,843
Bahringer Group,5200,844
"Hahn, Bahringer and McLaughlin",5038,845
