State,Youth Offender Type,Year,Offences
South Australia,04 Dangerous/negligent acts(e),2008,24
South Australia,05 Abduction/harassment,2008,21
South Australia,06 Robbery/extortion,2008,89
South Australia,07 Unlawful entry with intent,2008,561
South Australia,08 Theft,2008,1093
South Australia,09 Fraud/deception,2008,18
South Australia,10 Illicit drug offences,2008,675
South Australia,11 Weapons/explosives,2008,245
South Australia,12 Property damage and environmental pollution,2008,617
South Australia,13 Public order offences,2008,1076
South Australia,15 Offences against justice(g),2008,224
South Australia,16 Miscellaneous offences,2008,17
South Australia,All offenders,2008,37800
South Australia,Total Youth offenders,2008,5701
Tasmania,01 Homicide and related offences,2008,3
Tasmania,02 Acts intended to cause injury,2008,424
Tasmania,03 Sexual assault and related offences,2008,14
Tasmania,04 Dangerous/negligent acts(e),2008,3
Tasmania,05 Abduction/harassment,2008,8
Tasmania,06 Robbery/extortion,2008,31
Tasmania,07 Unlawful entry with intent,2008,205
Tasmania,08 Theft,2008,504
Tasmania,09 Fraud/deception,2008,32
Tasmania,10 Illicit drug offences,2008,197
Tasmania,11 Weapons/explosives,2008,41
Tasmania,12 Property damage and environmental pollution,2008,275
Tasmania,13 Public order offences,2008,698
Tasmania,15 Offences against justice(g),2008,82
Tasmania,16 Miscellaneous offences,2008,92
Tasmania,All offenders,2008,14826
Tasmania,Total Youth offenders,2008,2603
Victoria,01 Homicide and related offences,2008,8
Victoria,02 Acts intended to cause injury,2008,2065
Victoria,03 Sexual assault and related offences,2008,173
Victoria,04 Dangerous/negligent acts(e),2008,103
Victoria,05 Abduction/harassment,2008,57
Victoria,06 Robbery/extortion,2008,173
Victoria,07 Unlawful entry with intent,2008,1320
Victoria,08 Theft,2008,5168
Victoria,09 Fraud/deception,2008,242
Victoria,10 Illicit drug offences,2008,262
Victoria,11 Weapons/explosives,2008,434
Victoria,12 Property damage and environmental pollution,2008,1451
Victoria,13 Public order offences,2008,2578
Victoria,15 Offences against justice(g),2008,84
Victoria,16 Miscellaneous offences,2008,641
Victoria,All offenders,2008,67453
Victoria,Total Youth offenders,2008,14757
Western Australia,01 Homicide and related offences,2008,3
Western Australia,02 Acts intended to cause injury,2008,1819
Western Australia,03 Sexual assault and related offences,2008,147
Western Australia,04 Dangerous/negligent acts(e),2008,10
Western Australia,05 Abduction/harassment,2008,411
Western Australia,06 Robbery/extortion,2008,254
Western Australia,07 Unlawful entry with intent,2008,1270
Western Australia,08 Theft,2008,2701
Western Australia,09 Fraud/deception,2008,223
Western Australia,10 Illicit drug offences,2008,690
Western Australia,11 Weapons/explosives,2008,208
Western Australia,12 Property damage and environmental pollution,2008,1181
Western Australia,13 Public order offences,2008,1000
Western Australia,15 Offences against justice(g),2008,125
Western Australia,16 Miscellaneous offences,2008,9
Western Australia,All offenders,2008,43812
Western Australia,Total Youth offenders,2008,10084
Australian Capital Territory,01 Homicide and related offences,2009,0
Australian Capital Territory,02 Acts intended to cause injury,2009,139
Australian Capital Territory,03 Sexual assault and related offences,2009,3
Australian Capital Territory,04 Dangerous/negligent acts(e),2009,0
Australian Capital Territory,05 Abduction/harassment,2009,3
Australian Capital Territory,06 Robbery/extortion,2009,30
Australian Capital Territory,07 Unlawful entry with intent,2009,87
Australian Capital Territory,08 Theft,2009,269
Australian Capital Territory,09 Fraud/deception,2009,4
Australian Capital Territory,10 Illicit drug offences,2009,33
Australian Capital Territory,11 Weapons/explosives,2009,33
Australian Capital Territory,12 Property damage and environmental pollution,2009,75
Australian Capital Territory,13 Public order offences,2009,104
Australian Capital Territory,15 Offences against justice(g),2009,13
Australian Capital Territory,16 Miscellaneous offences,2009,0
Australian Capital Territory,All offenders,2009,3284
Australian Capital Territory,Total Youth offenders,2009,801
New South Wales,01 Homicide and related offences,2009,24
New South Wales,02 Acts intended to cause injury,2009,4049
New South Wales,03 Sexual assault and related offences,2009,139
New South Wales,04 Dangerous/negligent acts(e),2009,62
New South Wales,05 Abduction/harassment,2009,168
New South Wales,06 Robbery/extortion,2009,639
New South Wales,07 Unlawful entry with intent,2009,1360
New South Wales,08 Theft,2009,7048
New South Wales,09 Fraud/deception,2009,238
New South Wales,10 Illicit drug offences,2009,782
New South Wales,11 Weapons/explosives,2009,167
New South Wales,12 Property damage and environmental pollution,2009,1923
New South Wales,13 Public order offences,2009,3164
New South Wales,15 Offences against justice(g),2009,417
New South Wales,16 Miscellaneous offences,2009,1120
New South Wales,All offenders,2009,111910
New South Wales,Total Youth offenders,2009,21291
Northern Territory,01 Homicide and related offences,2009,0
Northern Territory,02 Acts intended to cause injury,2009,244
Northern Territory,03 Sexual assault and related offences,2009,31
Northern Territory,04 Dangerous/negligent acts(e),2009,12
Northern Territory,05 Abduction/harassment,2009,11
Northern Territory,06 Robbery/extortion,2009,34
Northern Territory,07 Unlawful entry with intent,2009,399
Northern Territory,08 Theft,2009,307
Northern Territory,09 Fraud/deception,2009,12
Northern Territory,10 Illicit drug offences,2009,20
Northern Territory,11 Weapons/explosives,2009,30
Northern Territory,12 Property damage and environmental pollution,2009,70
Northern Territory,13 Public order offences,2009,218
Northern Territory,15 Offences against justice(g),2009,29
Northern Territory,16 Miscellaneous offences,2009,0
Northern Territory,All offenders,2009,10583
Northern Territory,Total Youth offenders,2009,1549
Queensland,01 Homicide and related offences,2009,8
Queensland,02 Acts intended to cause injury,2009,2284
Queensland,03 Sexual assault and related offences,2009,485
Queensland,04 Dangerous/negligent acts(e),2009,179
Queensland,05 Abduction/harassment,2009,7
Queensland,06 Robbery/extortion,2009,306
Queensland,07 Unlawful entry with intent,2009,2130
Queensland,08 Theft,2009,5235
Queensland,09 Fraud/deception,2009,166
Queensland,10 Illicit drug offences,2009,1545
Queensland,11 Weapons/explosives,2009,380
Queensland,12 Property damage and environmental pollution,2009,1342
Queensland,13 Public order offences,2009,2095
Queensland,15 Offences against justice(g),2009,352
Queensland,16 Miscellaneous offences,2009,0
Queensland,All offenders,2009,91728
Queensland,Total Youth offenders,2009,17204
South Australia,01 Homicide and related offences,2009,12
South Australia,02 Acts intended to cause injury,2009,960
South Australia,03 Sexual assault and related offences,2009,84
South Australia,04 Dangerous/negligent acts(e),2009,13
South Australia,05 Abduction/harassment,2009,31
South Australia,06 Robbery/extortion,2009,101
South Australia,07 Unlawful entry with intent,2009,613
South Australia,08 Theft,2009,1166
South Australia,09 Fraud/deception,2009,30
South Australia,10 Illicit drug offences,2009,754
South Australia,11 Weapons/explosives,2009,214
South Australia,12 Property damage and environmental pollution,2009,530
South Australia,13 Public order offences,2009,723
South Australia,15 Offences against justice(g),2009,116
South Australia,16 Miscellaneous offences,2009,22
South Australia,All offenders,2009,39233
South Australia,Total Youth offenders,2009,5358
Tasmania,01 Homicide and related offences,2009,3
Tasmania,02 Acts intended to cause injury,2009,405
Tasmania,03 Sexual assault and related offences,2009,12
Tasmania,04 Dangerous/negligent acts(e),2009,0
Tasmania,05 Abduction/harassment,2009,0
Tasmania,06 Robbery/extortion,2009,38
Tasmania,07 Unlawful entry with intent,2009,201
Tasmania,08 Theft,2009,579
Tasmania,09 Fraud/deception,2009,29
Tasmania,10 Illicit drug offences,2009,225
Tasmania,11 Weapons/explosives,2009,44
Tasmania,12 Property damage and environmental pollution,2009,218
Tasmania,13 Public order offences,2009,649
Tasmania,15 Offences against justice(g),2009,91
Tasmania,16 Miscellaneous offences,2009,63
Tasmania,All offenders,2009,14764
Tasmania,Total Youth offenders,2009,2561
Victoria,01 Homicide and related offences,2009,3
Victoria,02 Acts intended to cause injury,2009,2205
Victoria,03 Sexual assault and related offences,2009,204
Victoria,04 Dangerous/negligent acts(e),2009,108
Victoria,05 Abduction/harassment,2009,86
Victoria,06 Robbery/extortion,2009,180
Victoria,07 Unlawful entry with intent,2009,1149
Victoria,08 Theft,2009,5121
Victoria,09 Fraud/deception,2009,249
Victoria,10 Illicit drug offences,2009,359
Victoria,11 Weapons/explosives,2009,435
Victoria,12 Property damage and environmental pollution,2009,1308
Victoria,13 Public order offences,2009,2433
Victoria,15 Offences against justice(g),2009,106
Victoria,16 Miscellaneous offences,2009,772
Victoria,All offenders,2009,76410
Victoria,Total Youth offenders,2009,14743
Western Australia,01 Homicide and related offences,2009,6
Western Australia,02 Acts intended to cause injury,2009,1970
Western Australia,03 Sexual assault and related offences,2009,196
Western Australia,04 Dangerous/negligent acts(e),2009,26
Western Australia,05 Abduction/harassment,2009,435
Western Australia,06 Robbery/extortion,2009,315
Western Australia,07 Unlawful entry with intent,2009,1550
Western Australia,08 Theft,2009,3136
Western Australia,09 Fraud/deception,2009,241
Western Australia,10 Illicit drug offences,2009,739
Western Australia,11 Weapons/explosives,2009,241
Western Australia,12 Property damage and environmental pollution,2009,1232
Western Australia,13 Public order offences,2009,1048
Western Australia,15 Offences against justice(g),2009,165
Western Australia,16 Miscellaneous offences,2009,5
Western Australia,All offenders,2009,45355
Western Australia,Total Youth offenders,2009,11418
Australian Capital Territory,01 Homicide and related offences,2010,3
Australian Capital Territory,02 Acts intended to cause injury,2010,133
Australian Capital Territory,03 Sexual assault and related offences,2010,0
Australian Capital Territory,04 Dangerous/negligent acts(e),2010,4
Australian Capital Territory,05 Abduction/harassment,2010,4
Australian Capital Territory,06 Robbery/extortion,2010,16
Australian Capital Territory,07 Unlawful entry with intent,2010,91
Australian Capital Territory,08 Theft,2010,229
Australian Capital Territory,09 Fraud/deception,2010,11
Australian Capital Territory,10 Illicit drug offences,2010,33
Australian Capital Territory,11 Weapons/explosives,2010,43
Australian Capital Territory,12 Property damage and environmental pollution,2010,65
Australian Capital Territory,13 Public order offences,2010,219
Australian Capital Territory,15 Offences against justice(g),2010,16
Australian Capital Territory,16 Miscellaneous offences,2010,0
Australian Capital Territory,All offenders,2010,3428
Australian Capital Territory,Total Youth offenders,2010,870
New South Wales,01 Homicide and related offences,2010,31
New South Wales,02 Acts intended to cause injury,2010,4114
New South Wales,03 Sexual assault and related offences,2010,112
New South Wales,04 Dangerous/negligent acts(e),2010,43
New South Wales,05 Abduction/harassment,2010,137
New South Wales,06 Robbery/extortion,2010,616
New South Wales,07 Unlawful entry with intent,2010,1268
New South Wales,08 Theft,2010,8077
New South Wales,09 Fraud/deception,2010,187
New South Wales,10 Illicit drug offences,2010,886
New South Wales,11 Weapons/explosives,2010,152
New South Wales,12 Property damage and environmental pollution,2010,1666
New South Wales,13 Public order offences,2010,2830
New South Wales,15 Offences against justice(g),2010,431
New South Wales,16 Miscellaneous offences,2010,1506
New South Wales,All offenders,2010,116502
New South Wales,Total Youth offenders,2010,22052
Northern Territory,01 Homicide and related offences,2010,0
Northern Territory,02 Acts intended to cause injury,2010,166
Northern Territory,03 Sexual assault and related offences,2010,22
Northern Territory,04 Dangerous/negligent acts(e),2010,8
Northern Territory,05 Abduction/harassment,2010,10
Northern Territory,06 Robbery/extortion,2010,23
Northern Territory,07 Unlawful entry with intent,2010,270
Northern Territory,08 Theft,2010,242
Northern Territory,09 Fraud/deception,2010,3
Northern Territory,10 Illicit drug offences,2010,22
Northern Territory,11 Weapons/explosives,2010,31
Northern Territory,12 Property damage and environmental pollution,2010,38
Northern Territory,13 Public order offences,2010,172
Northern Territory,15 Offences against justice(g),2010,29
Northern Territory,16 Miscellaneous offences,2010,3
Northern Territory,All offenders,2010,9518
Northern Territory,Total Youth offenders,2010,1061
Queensland,01 Homicide and related offences,2010,0
Queensland,02 Acts intended to cause injury,2010,2098
Queensland,03 Sexual assault and related offences,2010,406
Queensland,04 Dangerous/negligent acts(e),2010,147
Queensland,05 Abduction/harassment,2010,6
Queensland,06 Robbery/extortion,2010,256
Queensland,07 Unlawful entry with intent,2010,2038
Queensland,08 Theft,2010,4682
Queensland,09 Fraud/deception,2010,145
Queensland,10 Illicit drug offences,2010,1584
Queensland,11 Weapons/explosives,2010,363
Queensland,12 Property damage and environmental pollution,2010,1112
Queensland,13 Public order offences,2010,1775
Queensland,15 Offences against justice(g),2010,281
Queensland,16 Miscellaneous offences,2010,0
Queensland,All offenders,2010,85270
Queensland,Total Youth offenders,2010,15494
South Australia,01 Homicide and related offences,2010,12
South Australia,02 Acts intended to cause injury,2010,915
South Australia,03 Sexual assault and related offences,2010,96
South Australia,04 Dangerous/negligent acts(e),2010,14
South Australia,05 Abduction/harassment,2010,18
South Australia,06 Robbery/extortion,2010,120
South Australia,07 Unlawful entry with intent,2010,532
South Australia,08 Theft,2010,1032
South Australia,09 Fraud/deception,2010,40
South Australia,10 Illicit drug offences,2010,893
South Australia,11 Weapons/explosives,2010,186
South Australia,12 Property damage and environmental pollution,2010,453
South Australia,13 Public order offences,2010,820
South Australia,15 Offences against justice(g),2010,120
South Australia,16 Miscellaneous offences,2010,9
South Australia,All offenders,2010,40224
South Australia,Total Youth offenders,2010,5258
Tasmania,01 Homicide and related offences,2010,4
Tasmania,02 Acts intended to cause injury,2010,398
Tasmania,03 Sexual assault and related offences,2010,18
Tasmania,04 Dangerous/negligent acts(e),2010,0
Tasmania,05 Abduction/harassment,2010,3
Tasmania,06 Robbery/extortion,2010,31
Tasmania,07 Unlawful entry with intent,2010,137
Tasmania,08 Theft,2010,498
Tasmania,09 Fraud/deception,2010,27
Tasmania,10 Illicit drug offences,2010,185
Tasmania,11 Weapons/explosives,2010,40
Tasmania,12 Property damage and environmental pollution,2010,215
Tasmania,13 Public order offences,2010,623
Tasmania,15 Offences against justice(g),2010,62
Tasmania,16 Miscellaneous offences,2010,49
Tasmania,All offenders,2010,14178
Tasmania,Total Youth offenders,2010,2291
Victoria,01 Homicide and related offences,2010,3
Victoria,02 Acts intended to cause injury,2010,2036
Victoria,03 Sexual assault and related offences,2010,151
Victoria,04 Dangerous/negligent acts(e),2010,113
Victoria,05 Abduction/harassment,2010,75
Victoria,06 Robbery/extortion,2010,181
Victoria,07 Unlawful entry with intent,2010,1026
Victoria,08 Theft,2010,4780
Victoria,09 Fraud/deception,2010,132
Victoria,10 Illicit drug offences,2010,303
Victoria,11 Weapons/explosives,2010,312
Victoria,12 Property damage and environmental pollution,2010,1174
Victoria,13 Public order offences,2010,2067
Victoria,15 Offences against justice(g),2010,115
Victoria,16 Miscellaneous offences,2010,1055
Victoria,All offenders,2010,78139
Victoria,Total Youth offenders,2010,13518
Western Australia,01 Homicide and related offences,2010,10
Western Australia,02 Acts intended to cause injury,2010,2158
Western Australia,03 Sexual assault and related offences,2010,196
Western Australia,04 Dangerous/negligent acts(e),2010,12
Western Australia,05 Abduction/harassment,2010,417
Western Australia,06 Robbery/extortion,2010,343
Western Australia,07 Unlawful entry with intent,2010,1743
Western Australia,08 Theft,2010,2856
Western Australia,09 Fraud/deception,2010,258
Western Australia,10 Illicit drug offences,2010,726
Western Australia,11 Weapons/explosives,2010,243
Western Australia,12 Property damage and environmental pollution,2010,1308
Western Australia,13 Public order offences,2010,1082
Western Australia,15 Offences against justice(g),2010,109
Western Australia,16 Miscellaneous offences,2010,16
Western Australia,All offenders,2010,40572
Western Australia,Total Youth offenders,2010,11513
Australian Capital Territory,01 Homicide and related offences,2011,0
Australian Capital Territory,02 Acts intended to cause injury,2011,113
Australian Capital Territory,03 Sexual assault and related offences,2011,9
Australian Capital Territory,04 Dangerous/negligent acts(e),2011,0
Australian Capital Territory,05 Abduction/harassment,2011,0
Australian Capital Territory,06 Robbery/extortion,2011,21
Australian Capital Territory,07 Unlawful entry with intent,2011,41
Australian Capital Territory,08 Theft,2011,210
Australian Capital Territory,09 Fraud/deception,2011,31
Australian Capital Territory,10 Illicit drug offences,2011,59
Australian Capital Territory,11 Weapons/explosives,2011,33
Australian Capital Territory,12 Property damage and environmental pollution,2011,60
Australian Capital Territory,13 Public order offences,2011,156
Australian Capital Territory,15 Offences against justice(g),2011,11
Australian Capital Territory,16 Miscellaneous offences,2011,4
Australian Capital Territory,All offenders,2011,3319
Australian Capital Territory,Total Youth offenders,2011,754
New South Wales,01 Homicide and related offences,2011,17
New South Wales,02 Acts intended to cause injury,2011,3611
New South Wales,03 Sexual assault and related offences,2011,155
New South Wales,04 Dangerous/negligent acts(e),2011,18
New South Wales,05 Abduction/harassment,2011,129
New South Wales,06 Robbery/extortion,2011,446
New South Wales,07 Unlawful entry with intent,2011,1048
New South Wales,08 Theft,2011,8678
New South Wales,09 Fraud/deception,2011,164
New South Wales,10 Illicit drug offences,2011,847
New South Wales,11 Weapons/explosives,2011,104
New South Wales,12 Property damage and environmental pollution,2011,1336
New South Wales,13 Public order offences,2011,2182
New South Wales,15 Offences against justice(g),2011,294
New South Wales,16 Miscellaneous offences,2011,1547
New South Wales,All offenders,2011,109381
New South Wales,Total Youth offenders,2011,20574
Northern Territory,01 Homicide and related offences,2011,0
Northern Territory,02 Acts intended to cause injury,2011,180
Northern Territory,03 Sexual assault and related offences,2011,10
Northern Territory,04 Dangerous/negligent acts(e),2011,0
Northern Territory,05 Abduction/harassment,2011,4
Northern Territory,06 Robbery/extortion,2011,18
Northern Territory,07 Unlawful entry with intent,2011,282
Northern Territory,08 Theft,2011,177
Northern Territory,09 Fraud/deception,2011,4
Northern Territory,10 Illicit drug offences,2011,30
Northern Territory,11 Weapons/explosives,2011,26
Northern Territory,12 Property damage and environmental pollution,2011,45
Northern Territory,13 Public order offences,2011,144
Northern Territory,15 Offences against justice(g),2011,29
Northern Territory,16 Miscellaneous offences,2011,0
Northern Territory,All offenders,2011,10207
Northern Territory,Total Youth offenders,2011,979
Queensland,01 Homicide and related offences,2011,0
Queensland,02 Acts intended to cause injury,2011,1965
Queensland,03 Sexual assault and related offences,2011,418
Queensland,04 Dangerous/negligent acts(e),2011,163
Queensland,05 Abduction/harassment,2011,3
Queensland,06 Robbery/extortion,2011,241
Queensland,07 Unlawful entry with intent,2011,2042
Queensland,08 Theft,2011,3792
Queensland,09 Fraud/deception,2011,133
Queensland,10 Illicit drug offences,2011,1751
Queensland,11 Weapons/explosives,2011,338
Queensland,12 Property damage and environmental pollution,2011,1151
Queensland,13 Public order offences,2011,1673
Queensland,15 Offences against justice(g),2011,270
Queensland,16 Miscellaneous offences,2011,4
Queensland,All offenders,2011,87131
Queensland,Total Youth offenders,2011,14485
South Australia,01 Homicide and related offences,2011,5
South Australia,02 Acts intended to cause injury,2011,751
South Australia,03 Sexual assault and related offences,2011,123
South Australia,04 Dangerous/negligent acts(e),2011,13
South Australia,05 Abduction/harassment,2011,17
South Australia,06 Robbery/extortion,2011,91
South Australia,07 Unlawful entry with intent,2011,274
South Australia,08 Theft,2011,923
South Australia,09 Fraud/deception,2011,16
South Australia,10 Illicit drug offences,2011,835
South Australia,11 Weapons/explosives,2011,189
South Australia,12 Property damage and environmental pollution,2011,501
South Australia,13 Public order offences,2011,548
South Australia,15 Offences against justice(g),2011,60
South Australia,16 Miscellaneous offences,2011,11
South Australia,All offenders,2011,38988
South Australia,Total Youth offenders,2011,4421
Tasmania,01 Homicide and related offences,2011,0
Tasmania,02 Acts intended to cause injury,2011,331
Tasmania,03 Sexual assault and related offences,2011,15
Tasmania,04 Dangerous/negligent acts(e),2011,0
Tasmania,05 Abduction/harassment,2011,3
Tasmania,06 Robbery/extortion,2011,33
Tasmania,07 Unlawful entry with intent,2011,145
Tasmania,08 Theft,2011,385
Tasmania,09 Fraud/deception,2011,25
Tasmania,10 Illicit drug offences,2011,161
Tasmania,11 Weapons/explosives,2011,59
Tasmania,12 Property damage and environmental pollution,2011,200
Tasmania,13 Public order offences,2011,616
Tasmania,15 Offences against justice(g),2011,99
Tasmania,16 Miscellaneous offences,2011,59
Tasmania,All offenders,2011,14184
Tasmania,Total Youth offenders,2011,2141
Victoria,01 Homicide and related offences,2011,12
Victoria,02 Acts intended to cause injury,2011,1895
Victoria,03 Sexual assault and related offences,2011,153
Victoria,04 Dangerous/negligent acts(e),2011,108
Victoria,05 Abduction/harassment,2011,113
Victoria,06 Robbery/extortion,2011,185
Victoria,07 Unlawful entry with intent,2011,855
Victoria,08 Theft,2011,4529
Victoria,09 Fraud/deception,2011,134
Victoria,10 Illicit drug offences,2011,353
Victoria,11 Weapons/explosives,2011,269
Victoria,12 Property damage and environmental pollution,2011,1061
Victoria,13 Public order offences,2011,1438
Victoria,15 Offences against justice(g),2011,87
Victoria,16 Miscellaneous offences,2011,1311
Victoria,All offenders,2011,81718
Victoria,Total Youth offenders,2011,12500
Western Australia,01 Homicide and related offences,2011,6
Western Australia,02 Acts intended to cause injury,2011,1526
Western Australia,03 Sexual assault and related offences,2011,150
Western Australia,04 Dangerous/negligent acts(e),2011,14
Western Australia,05 Abduction/harassment,2011,313
Western Australia,06 Robbery/extortion,2011,256
Western Australia,07 Unlawful entry with intent,2011,1309
Western Australia,08 Theft,2011,2200
Western Australia,09 Fraud/deception,2011,127
Western Australia,10 Illicit drug offences,2011,530
Western Australia,11 Weapons/explosives,2011,145
Western Australia,12 Property damage and environmental pollution,2011,838
Western Australia,13 Public order offences,2011,757
Western Australia,15 Offences against justice(g),2011,113
Western Australia,16 Miscellaneous offences,2011,9
Western Australia,All offenders,2011,37169
Western Australia,Total Youth offenders,2011,8302
Australian Capital Territory,01 Homicide and related offences,2012,0
Australian Capital Territory,02 Acts intended to cause injury,2012,79
Australian Capital Territory,03 Sexual assault and related offences,2012,4
Australian Capital Territory,04 Dangerous/negligent acts(e),2012,3
Australian Capital Territory,05 Abduction/harassment,2012,0
Australian Capital Territory,06 Robbery/extortion,2012,8
Australian Capital Territory,07 Unlawful entry with intent,2012,23
Australian Capital Territory,08 Theft,2012,169
Australian Capital Territory,09 Fraud/deception,2012,14
Australian Capital Territory,10 Illicit drug offences,2012,40
Australian Capital Territory,11 Weapons/explosives,2012,27
Australian Capital Territory,12 Property damage and environmental pollution,2012,38
Australian Capital Territory,13 Public order offences,2012,92
Australian Capital Territory,15 Offences against justice(g),2012,9
Australian Capital Territory,16 Miscellaneous offences,2012,3
Australian Capital Territory,All offenders,2012,3029
Australian Capital Territory,Total Youth offenders,2012,507
New South Wales,01 Homicide and related offences,2012,10
New South Wales,02 Acts intended to cause injury,2012,3248
New South Wales,03 Sexual assault and related offences,2012,173
New South Wales,04 Dangerous/negligent acts(e),2012,32
New South Wales,05 Abduction/harassment,2012,117
New South Wales,06 Robbery/extortion,2012,378
New South Wales,07 Unlawful entry with intent,2012,887
New South Wales,08 Theft,2012,6800
New South Wales,09 Fraud/deception,2012,266
New South Wales,10 Illicit drug offences,2012,889
New South Wales,11 Weapons/explosives,2012,123
New South Wales,12 Property damage and environmental pollution,2012,1242
New South Wales,13 Public order offences,2012,1972
New South Wales,15 Offences against justice(g),2012,355
New South Wales,16 Miscellaneous offences,2012,2690
New South Wales,All offenders,2012,116055
New South Wales,Total Youth offenders,2012,19185
Northern Territory,01 Homicide and related offences,2012,0
Northern Territory,02 Acts intended to cause injury,2012,248
Northern Territory,03 Sexual assault and related offences,2012,23
Northern Territory,04 Dangerous/negligent acts(e),2012,5
Northern Territory,05 Abduction/harassment,2012,3
Northern Territory,06 Robbery/extortion,2012,11
Northern Territory,07 Unlawful entry with intent,2012,289
Northern Territory,08 Theft,2012,120
Northern Territory,09 Fraud/deception,2012,4
Northern Territory,10 Illicit drug offences,2012,15
Northern Territory,11 Weapons/explosives,2012,30
Northern Territory,12 Property damage and environmental pollution,2012,58
Northern Territory,13 Public order offences,2012,99
Northern Territory,15 Offences against justice(g),2012,22
Northern Territory,16 Miscellaneous offences,2012,0
Northern Territory,All offenders,2012,11023
Northern Territory,Total Youth offenders,2012,952
Queensland,01 Homicide and related offences,2012,13
Queensland,02 Acts intended to cause injury,2012,1735
Queensland,03 Sexual assault and related offences,2012,528
Queensland,04 Dangerous/negligent acts(e),2012,150
Queensland,05 Abduction/harassment,2012,8
Queensland,06 Robbery/extortion,2012,263
Queensland,07 Unlawful entry with intent,2012,1779
Queensland,08 Theft,2012,3050
Queensland,09 Fraud/deception,2012,110
Queensland,10 Illicit drug offences,2012,2108
Queensland,11 Weapons/explosives,2012,304
Queensland,12 Property damage and environmental pollution,2012,1016
Queensland,13 Public order offences,2012,1460
Queensland,15 Offences against justice(g),2012,231
Queensland,16 Miscellaneous offences,2012,0
Queensland,All offenders,2012,86804
Queensland,Total Youth offenders,2012,13220
South Australia,01 Homicide and related offences,2012,9
South Australia,02 Acts intended to cause injury,2012,765
South Australia,03 Sexual assault and related offences,2012,121
South Australia,04 Dangerous/negligent acts(e),2012,26
South Australia,05 Abduction/harassment,2012,10
South Australia,06 Robbery/extortion,2012,76
South Australia,07 Unlawful entry with intent,2012,268
South Australia,08 Theft,2012,949
South Australia,09 Fraud/deception,2012,17
